Country,SuccessRate
Australia,0.5
Barents Sea,0.6666666666666666
Brazil,0.0
China,0.9175824175824175
France,0.940251572327044
Gran Canaria,1.0
India,0.8292682926829268
Iran,0.375
Israel,0.8181818181818182
Japan,0.9
Kazakhstan,0.8692628650904033
Kenya,1.0
New Mexico,0.0
New Zealand,0.8928571428571429
North Korea,0.4
Pacific Missile Range Facility,0.0
Pacific Ocean,0.9166666666666666
Russia,0.934322033898305
Shahrud Missile Test Site,1.0
South Korea,0.4
USA,0.8847989093387867
Yellow Sea,1.0
